CustomerID,Age,Subscription Months,Satisfaction Score (1-10),Feedback
1,22.0,1.0,8.0,Fresh ingredients and well-balanced meals—highly recommend!
2,23.0,24.0,7.0,"Good quality, needs more variety."
3,22.0,,8.0,"Great meal plans, and customer service is fantastic."
4,,16.0,,"Great meal plans, and customer service is fantastic."
5,31.0,9.0,7.0,"Some meals were great, others were average."
6,21.0,1.0,7.0,I wish they had more flexible delivery times.
7,30.0,1.0,10.0,The subscription saves me so much time!
8,21.0,15.0,9.0,Loved the variety and convenience of the meals!
9,21.0,4.0,,I wish they had more flexible delivery times.
10,29.0,2.0,8.0,"Great meal plans, and customer service is fantastic."
11,,6.0,6.0,"Not bad, but not outstanding either."
12,29.0,4.0,6.0,"Some meals were great, others were average."
13,18.0,8.0,7.0,"Not bad, but not outstanding either."
14,,5.0,3.0,Too expensive for the portion size.
15,29.0,9.0,4.0,I canceled my subscription after a week.
16,25.0,15.0,6.0,"The service was okay, but portions could be bigger."
17,20.0,1.0,5.0,"The service was okay, but portions could be bigger."
18,27.0,3.0,8.0,Loved the variety and convenience of the meals!
19,21.0,4.0,5.0,"Not bad, but not outstanding either."
20,,24.0,4.0,I canceled my subscription after a week.
21,33.0,3.0,10.0,"Healthy, tasty, and super easy to prepare!"
22,28.0,3.0,7.0,I wish they had more flexible delivery times.
23,32.0,8.0,7.0,"Good quality, needs more variety."
24,25.0,4.0,4.0,The meals were bland and arrived late!
25,29.0,24.0,6.0,I wish they had more flexible delivery times.
26,32.0,17.0,7.0,"The service was okay, but portions could be bigger."
27,26.0,5.0,5.0,"Good quality, needs more variety."
28,24.0,8.0,8.0,Loved the variety and convenience of the meals!
29,16.0,1.0,6.0,I wish they had more flexible delivery times.
30,25.0,9.0,6.0,"Not bad, but not outstanding either."
31,29.0,9.0,,"Good quality, needs more variety."
32,,3.0,10.0,Loved the variety and convenience of the meals!
33,28.0,1.0,7.0,"Not bad, but not outstanding either."
34,,19.0,5.0,"Not bad, but not outstanding either."
35,15.0,4.0,9.0,"Healthy, tasty, and super easy to prepare!"
