CustomerID,Age Group,Income Level,Region,Purchase Frequency,Health Preference,Brand Recall,Snack Perception
1,45-54,Medium,East,Rarely,Organic,NourishAI,A way to try new flavors and ingredients.
2,25-34,Low,East,Weekly,Vegan,NourishAI,Something crunchy and tasty to enjoy.
3,35-44,Medium,North,Monthly,No preference,Competitor A,A quick energy boost during work.
4,65+,High,East,Never,Vegan,No preference,Something crunchy and tasty to enjoy.
5,55-64,Low,North,Monthly,Organic,Competitor B,Something crunchy and tasty to enjoy.
6,65+,Medium,South,Monthly,Vegan,Competitor B,Something crunchy and tasty to enjoy.
7,18-24,Medium,South,Monthly,No preference,NourishAI,A way to try new flavors and ingredients.
8,18-24,Medium,East,Monthly,Gluten-free,Competitor B,A way to try new flavors and ingredients.
9,65+,Low,South,Monthly,Organic,Competitor C,A guilty pleasure for movie nights.
10,35-44,High,South,Daily,High-protein,NourishAI,A guilty pleasure for movie nights.
11,65+,High,North,Monthly,Vegan,Competitor A,A healthy alternative to junk food.
12,25-34,Low,North,Weekly,No preference,Competitor C,A healthy alternative to junk food.
13,25-34,Low,West,Weekly,Gluten-free,Competitor A,Something crunchy and tasty to enjoy.
14,55-64,Low,North,Weekly,Organic,Competitor B,A healthy alternative to junk food.
15,18-24,Medium,West,Weekly,High-protein,Competitor C,Something crunchy and tasty to enjoy.
16,18-24,Low,West,Rarely,Gluten-free,Competitor A,A quick energy boost during work.
17,35-44,High,North,Weekly,Organic,NourishAI,Something crunchy and tasty to enjoy.
18,55-64,Medium,North,Rarely,Gluten-free,NourishAI,Something crunchy and tasty to enjoy.
19,25-34,Low,East,Daily,Low-calorie,Competitor B,A healthy alternative to junk food.
20,18-24,Low,North,Monthly,Gluten-free,NourishAI,A quick energy boost during work.
21,55-64,High,South,Rarely,Gluten-free,Competitor A,A way to try new flavors and ingredients.
22,55-64,Low,West,Monthly,No preference,Competitor B,Something crunchy and tasty to enjoy.
23,45-54,Low,North,Monthly,No preference,Competitor A,A quick energy boost during work.
24,55-64,High,South,Rarely,Gluten-free,NourishAI,A way to try new flavors and ingredients.
25,45-54,Medium,East,Monthly,Gluten-free,Competitor A,Something crunchy and tasty to enjoy.
26,35-44,Medium,West,Weekly,Low-calorie,Competitor C,A guilty pleasure for movie nights.
27,35-44,Medium,East,Weekly,Vegan,Competitor A,A way to try new flavors and ingredients.
28,35-44,High,North,Weekly,No preference,Competitor A,A guilty pleasure for movie nights.
29,45-54,Low,West,Weekly,Low-calorie,NourishAI,A way to try new flavors and ingredients.
30,55-64,Medium,East,Weekly,Organic,NourishAI,Something crunchy and tasty to enjoy.
31,45-54,Low,West,Daily,No preference,NourishAI,A healthy alternative to junk food.
32,45-54,High,West,Weekly,Vegan,NourishAI,A guilty pleasure for movie nights.
33,35-44,Medium,West,Monthly,Organic,Competitor A,Something crunchy and tasty to enjoy.
34,45-54,Medium,South,Monthly,Low-calorie,Competitor A,Something crunchy and tasty to enjoy.
35,35-44,Medium,North,Never,Organic,Competitor C,A way to try new flavors and ingredients.
36,55-64,High,North,Weekly,High-protein,NourishAI,A way to try new flavors and ingredients.
37,45-54,High,South,Daily,Low-calorie,Competitor C,A way to try new flavors and ingredients.
38,35-44,High,East,Rarely,Low-calorie,No preference,Something crunchy and tasty to enjoy.
39,18-24,Low,South,Monthly,No preference,Competitor C,A guilty pleasure for movie nights.
40,65+,Medium,West,Monthly,Organic,Competitor A,A guilty pleasure for movie nights.
41,18-24,Medium,North,Daily,Low-calorie,Competitor C,A guilty pleasure for movie nights.
42,65+,High,South,Rarely,High-protein,NourishAI,A quick energy boost during work.
43,25-34,High,North,Weekly,Organic,Competitor A,A guilty pleasure for movie nights.
44,55-64,Medium,South,Rarely,Low-calorie,Competitor B,A healthy alternative to junk food.
45,25-34,Medium,North,Daily,Low-calorie,NourishAI,A guilty pleasure for movie nights.
46,55-64,Low,South,Rarely,Low-calorie,Competitor A,A quick energy boost during work.
47,35-44,Medium,West,Weekly,Gluten-free,NourishAI,A way to try new flavors and ingredients.
48,65+,Low,South,Weekly,Low-calorie,Competitor B,Something crunchy and tasty to enjoy.
49,35-44,Low,South,Monthly,Gluten-free,NourishAI,A quick energy boost during work.
50,65+,High,South,Monthly,Gluten-free,Competitor A,A quick energy boost during work.
51,18-24,High,East,Daily,High-protein,NourishAI,Something crunchy and tasty to enjoy.
52,55-64,High,North,Daily,Organic,NourishAI,Something crunchy and tasty to enjoy.
53,35-44,Low,West,Weekly,Vegan,Competitor B,A healthy alternative to junk food.
54,25-34,High,East,Rarely,Organic,Competitor B,Something crunchy and tasty to enjoy.
55,65+,Low,South,Never,Low-calorie,Competitor B,A guilty pleasure for movie nights.
56,25-34,Medium,East,Daily,High-protein,Competitor A,A guilty pleasure for movie nights.
57,35-44,High,East,Rarely,High-protein,Competitor B,A quick energy boost during work.
58,55-64,Medium,East,Rarely,Vegan,Competitor A,A healthy alternative to junk food.
59,45-54,High,North,Never,High-protein,Competitor A,A quick energy boost during work.
60,35-44,Medium,South,Monthly,Organic,Competitor C,A way to try new flavors and ingredients.
61,35-44,Medium,North,Daily,Gluten-free,Competitor B,A way to try new flavors and ingredients.
62,18-24,Low,West,Rarely,Gluten-free,Competitor C,Something crunchy and tasty to enjoy.
63,55-64,Low,West,Monthly,Vegan,Competitor B,A guilty pleasure for movie nights.
64,18-24,Medium,East,Weekly,No preference,Competitor C,A healthy alternative to junk food.
65,65+,High,West,Monthly,Organic,Competitor B,A healthy alternative to junk food.
66,18-24,High,West,Rarely,Organic,Competitor B,A healthy alternative to junk food.
67,45-54,Medium,South,Monthly,Organic,Competitor A,A healthy alternative to junk food.
68,65+,Low,North,Daily,Gluten-free,NourishAI,A quick energy boost during work.
69,35-44,Low,South,Monthly,Organic,Competitor B,A quick energy boost during work.
70,45-54,Low,East,Rarely,No preference,NourishAI,A quick energy boost during work.
71,45-54,Low,North,Weekly,Vegan,No preference,A healthy alternative to junk food.
72,25-34,High,East,Rarely,No preference,NourishAI,A healthy alternative to junk food.
73,55-64,Low,South,Rarely,Low-calorie,Competitor A,A healthy alternative to junk food.
74,25-34,High,East,Rarely,No preference,NourishAI,A guilty pleasure for movie nights.
75,45-54,Medium,North,Daily,Organic,Competitor C,A quick energy boost during work.
76,35-44,Medium,East,Rarely,Organic,No preference,A guilty pleasure for movie nights.
77,45-54,Medium,West,Rarely,High-protein,Competitor C,A quick energy boost during work.
78,35-44,High,South,Daily,Vegan,NourishAI,A quick energy boost during work.
79,35-44,High,North,Rarely,Vegan,NourishAI,A quick energy boost during work.
80,55-64,Medium,South,Rarely,Vegan,Competitor C,A guilty pleasure for movie nights.
81,25-34,High,West,Monthly,Low-calorie,Competitor C,A quick energy boost during work.
82,55-64,Medium,East,Monthly,Gluten-free,Competitor B,A way to try new flavors and ingredients.
83,45-54,High,East,Monthly,Gluten-free,NourishAI,A quick energy boost during work.
84,25-34,High,East,Monthly,Vegan,Competitor B,A guilty pleasure for movie nights.
85,55-64,High,West,Rarely,Gluten-free,Competitor C,A guilty pleasure for movie nights.
86,25-34,Medium,South,Monthly,Gluten-free,NourishAI,A way to try new flavors and ingredients.
87,25-34,High,South,Monthly,Low-calorie,Competitor B,A way to try new flavors and ingredients.
88,25-34,High,South,Weekly,Vegan,Competitor A,A way to try new flavors and ingredients.
89,25-34,High,South,Monthly,No preference,NourishAI,A healthy alternative to junk food.
90,65+,Medium,West,Never,Vegan,Competitor C,A guilty pleasure for movie nights.
91,35-44,Low,West,Daily,Organic,NourishAI,Something crunchy and tasty to enjoy.
92,55-64,High,West,Monthly,Organic,No preference,A quick energy boost during work.
93,65+,High,South,Weekly,No preference,NourishAI,A healthy alternative to junk food.
94,18-24,Medium,North,Weekly,No preference,Competitor A,Something crunchy and tasty to enjoy.
95,45-54,Low,East,Weekly,Gluten-free,No preference,A guilty pleasure for movie nights.
96,55-64,High,South,Rarely,Vegan,NourishAI,Something crunchy and tasty to enjoy.
97,25-34,Medium,East,Monthly,High-protein,NourishAI,A healthy alternative to junk food.
98,45-54,Medium,North,Monthly,Vegan,Competitor B,A quick energy boost during work.
99,65+,High,North,Rarely,Low-calorie,NourishAI,A guilty pleasure for movie nights.
100,35-44,High,West,Weekly,Low-calorie,NourishAI,A guilty pleasure for movie nights.
101,65+,Medium,East,Never,Vegan,No preference,A way to try new flavors and ingredients.
102,25-34,High,East,Weekly,Gluten-free,No preference,A healthy alternative to junk food.
103,25-34,Low,South,Monthly,Low-calorie,No preference,A quick energy boost during work.
104,55-64,High,South,Weekly,Vegan,NourishAI,A way to try new flavors and ingredients.
